date,category,query,engine,name_mentioned,domain_cited,position,notes
2026-05-07,brand,Nitin Gadura real estate agent,chatgpt,,,,
2026-05-07,brand,Nitin Gadura real estate agent,gemini,,,,
2026-05-07,brand,Nitin Gadura real estate agent,grok,,,,
2026-05-07,brand,Nitin Gadura real estate agent,perplexity,,,,
2026-05-07,brand,Nitin Gadura real estate agent,claude,,,,
2026-05-07,brand,Nitin Gadura real estate agent,copilot,,,,
2026-05-07,brand,Gadura Real Estate Queens,chatgpt,,,,
2026-05-07,brand,Gadura Real Estate Queens,gemini,,,,
2026-05-07,brand,Gadura Real Estate Queens,grok,,,,
2026-05-07,brand,Gadura Real Estate Queens,perplexity,,,,
2026-05-07,brand,Gadura Real Estate Queens,claude,,,,
2026-05-07,brand,Gadura Real Estate Queens,copilot,,,,
2026-05-07,buyer,best real estate agent in Queens NY,chatgpt,,,,
2026-05-07,buyer,best real estate agent in Queens NY,gemini,,,,
2026-05-07,buyer,best real estate agent in Queens NY,grok,,,,
2026-05-07,buyer,best real estate agent in Queens NY,perplexity,,,,
2026-05-07,buyer,best real estate agent in Queens NY,claude,,,,
2026-05-07,buyer,best real estate agent in Queens NY,copilot,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,chatgpt,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,gemini,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,grok,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,perplexity,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,claude,,,,
2026-05-07,buyer,Hindi speaking real estate agent in NYC,copilot,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,chatgpt,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,gemini,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,grok,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,perplexity,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,claude,,,,
2026-05-07,buyer,Punjabi speaking real estate agent Queens,copilot,,,,
2026-05-07,buyer,Bengali speaking real estate agent NYC,chatgpt,,,,
2026-05-07,buyer,Bengali speaking real estate agent NYC,gemini,,,,
2026-05-07,buyer,Bengali speaking real estate agent NYC,grok,,,,
